543454	1
Who is listening @January 2020 ? 	0
good one , loved it	1
Hipster music.	1
Nice and relaxing to read books and rest	0
I do !	2
Thanx	1
0:00 *hEy WhAt Is Up GuYs WeLcOmE bAcK tO mY cHaNnEl HiT tHaT lIkE iF yOu HaVe NoT aLrEaDy*	1
Joyful music	1
E klia i ka nuu.	3
Medicine: may cause death.	0
This really does help lighten the load!!	2
G - two strums down	1
One strum up all strings open quickly	1
People in the ad:	2
To play the first song:	3
D - two strums down	1
Repeat over and over	1
Thank me later xD	1
Very good..life music	1
C - D D U U D U	1
This plays at The Treblinka Death Camps Gift Shop all day long.	0
So Beautiful!	1
it sounded like a background music for DIY youtube videos	0
Aloha always sweet sweet beautiful sweet music  from the beautiful Hawaii sweet lovely  music  Always sweet Aloha good morning  everyones always God bless you amen 	1
So *thats* where The Sims buy their music ;oD	0
Listen to this every morning to start happy and relaxed  love it!	1
Aku suka	3
Beautiful music happy...	1
I can listen to this music while doing chores around the house! Lol	1
I played this while playing getting over it with bennett foddy	3
this is spent coding c++ = ))	2
This music give me an erection	1
This is my favorite music to murder to	1
Sounds like the first 15 second introduction of every YouTube cooking video. 	0
How can be	3
This is great!	1
Holy shit this is hilariously accurate. lol	0
You can torture me with this	1
Serving as background music for every cute cat and dog video ever	1
Im here after Jo Koy	1
Would love to have the sheet music for this, beautiful.	1
Is this available for download? iTunes?	0
@Si Hopebgood soooo i start my day with lemon water, it's soooo good and hydrating.......	1
35:01 I love that one	1
I will play this in my new Ford Mustang while ripping around the coastline.	1
Makes me think of one of those Spiderman and Elsa videos	0
Mmm! Especially vegan ones that start every sentence with 'So...'	1
Weird flex but ok Micheal Jackson	1
Could you please list the Name and Artist of the songs? Thank you! Very well done video/music. Perfect for relaxing!	1
good (*^^*)thankyou!!	1
I just got back from an unforgettable seven day vacation; I miss you Hawaii and all the great memories you have given me and our family. Mahalo and God bless this paradise island.	1
@Super Saint Hawaii has many activities to take advantage of. Some are free and many are costly. The zoo was beautiful and FREE! I enjoyed zip lining in the rain forest and parasailing at Kona. Go to Groupon for better pricing. If relaxation is what you are looking for, many of the beaches like the Black Sand Beach will satisfy with the most jaw dropping sunrises and sunsets. Hapuna beach is beautiful too! The Tsunami museum in Hilo is only $8 adults and $4 kids. Hawaii Volcanoes National Park is $25 per vehicle and open 24/7.  There is a beautiful view of the volcanoes and crater from the Volcanoe house. You don't have to eat at the restaurants but you can get a great view from there and they have a nice lounging area. The Big Island is so amazingly beautiful, but it is very hot and humid right now and it can rain at any time. Just be prepared! We were rained out for a couple of days. The scenic drives made the travel time short - minimal to no traffic. Food can be very costly so plan ahead. Shaka restaurant in Punalu'u has the best Moko Loco and other food items. You get a ton of food and the price is good for the quality and amount. Enjoy your time! Mahalo 	1
E Z imma go to Hawaii Next week And I wonder if its fun over there.	0
Ill be there one day... one day	1
Hawaii is amazing!! Went there last summer truly amazing 	1
f you want to start day happy  verry good	1
Good song	1
First song; who's whistling?  Soulful effort.	1
Awesome :))	1
Is so  relaxing I love it 	1
See white woman on the cover, thumbs down	1
And I love banjo too 	1
Track list? whats the name of the first song?	0
Name of first track please	3
Wht's the music playing 04:22?Who knows?	1
My parrot gets so excited when i put this on.....he was hopping and swinging and flapping about.........actually so was i.	0
Can someone tell the chords? Please	3
I am 100% European & do love Hawaiian music, but this doesn't sound very traditional to me @ all. Not the Hawaiian/Polynesian style that i enjoy. For me, it must be fully traditional. Sorry guys, no offence. Just sayin.	3
FINALLY GOT THROUGH TO THE VIDEO! Got the same freaking add 4 TIMES IN A ROW! Too many adds today, its annoying as carrot...	2
love it i put it on when i do homework	1
1:01:47	0
Playlist gniale, mais un peu beaucoup rptitive  la fin. (Les chansons sont passes en boucle)	1
What is the title of the track at 0:14:00?	0
I made a Hawaiian dance because this made me dance 	1
This is seriously amazing! Had I been given another life, I would have remained happy without any achievement,any victory, appreciation or acceptance. I would have started things  being happy, not to be happy. But hey! Can do that in this life as well! Happiness is a choice, not a destination. Be happy, Be sad. There is and will always be only one life!	1
20:21	1
 like it.	1
This song makes me smile even though i got robbed 	0
Este vatooo	2
2. No ka paleana i ka lehulehu mai ka poe hana hewa e hana nei i ka hana maikai i ke kaiulu.	2
E ka mea pili i kia kuleana:	2
3. No ka hokiana i n loiloi honua nui i ka National Security.	2
Ke palapala nei au e hai ioe i kau mau kumuhana no ke kkooana i ka Legalization of Drugs.	2
1.Aole e ho'oia n hanauna o ka w hou o n luna hooll knwai e ke kl maalahi.	1
'Ak, he aha ka mea e pili ana i ke aupuni pono'?	1
4. E hookumu i kahi hui hou e k' i n lau lapaau kponoole. O ka hui pana,o ia ka hanaana me n kmeka o n manawa, n kpili a me n mea hawi i n lau lapaau a kkua i ka hoohanaana i ko lkouike a me n mea iikeia e kkua ai e palekana i ko lkou mauohana a me n hoaaloha mai kahiino.	1
O James Madison	1
Aole iikeo Tu-Pac i ka Pelekikenaeleele mua, ua loaa i ia kona makemake, ak, mahaloo Pelekikena Barrack Obama ma keano he Shinning Example o ka mea a ke kanakaeleele e hiki ai ke lilo. O Martin Luther King Jr. a me n mea' ae he nui loa e hoohanohanoia e mahalo i kou lima ma ka lani.	2
KA HUA I KAMEHAMEHA	2
DONT WORRY... BE HAPPY 	1
KA HUA I KAMEHAMEHAMEHA	2
N Pepa Pekelala	3
O kahi papahana kaiaulu e hana like i loko o ke Unity for the People.	1
Hello! I would like to know if you could please tell me the name of the author of the first song, or if it is you.  Do you sell the music for youtube videos?	1
What videogame is this from  Our hotel in Turkey played it each morning, nice atmosphere	1
This music is an immediate Mood lifter!!! 	1
I sounds like home made tutorial back ground.	3
Thank you	1
' learn how to make paper boat'.	2
just sounds like diy music	1
